Core,DB Size,DB Organization,Column Size,Num Columns,Row Size,Time(Cycles),RME Enabled,Design
Rocket,27MB,row,1 bytes,3,64,97019559,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,1 bytes,3,64,87835257,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,1 bytes,3,64,67201641,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,2 bytes,3,64,99984000,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,2 bytes,3,64,90487000,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,2 bytes,3,64,71020000,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,4 bytes,3,64,98546645,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,4 bytes,3,64,92526616,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,4 bytes,3,64,73156286,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,8 bytes,3,64,92504569,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,8 bytes,3,64,90542021,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,8 bytes,3,64,75688086,FALSE,"16 Fetch Unit, 4 Rank"